Word,Order,Rank,Band,SFI,U
liter,878,878,18,47.433,6
oxidize,879,879,18,47.402,5
mercury,880,880,18,47.366,5
noisy,881,881,18,47.358,5
headquarters,882,882,18,47.357,5
phenomenal,883,883,18,47.322,5
multinational,884,884,18,47.306,5
comma,885,885,18,47.236,5
bizarre,886,886,18,47.216,5
specialty,887,887,18,47.202,5
socialize,888,888,18,47.163,5
novice,889,889,18,47.123,5
enormously,890,889,18,47.123,5
rope,891,891,18,47.082,5
campus,892,892,18,47.053,5
clever,893,893,18,47.03,5
mole,894,894,18,46.893,5
sometime,895,895,18,46.791,5
bucket,896,896,18,46.689,5
swap,897,897,18,46.674,5
recipe,898,898,18,46.646,5
airplane,899,899,18,46.596,5
deflection,900,900,18,46.573,5
deceive,901,901,19,46.559,5
syllabus,902,902,19,46.543,5
neat,903,903,19,46.535,5
factorial,904,904,19,46.511,4
lever,905,905,19,46.508,4
descriptor,906,906,19,46.495,4
semester,907,907,19,46.324,4
underneath,908,908,19,46.213,4
reactor,909,909,19,46.161,4
herbicide,910,910,19,46.057,4
bonus,911,911,19,46.047,4
cheat,912,912,19,46.023,4
missile,913,913,19,45.967,4
rub,914,914,19,45.945,4
radar,915,915,19,45.872,4
memorize,916,916,19,45.828,4
scripture,917,917,19,45.819,4
whoever,918,918,19,45.733,4
whichever,919,919,19,45.489,4
bullet,920,920,19,45.326,3
punch,921,921,19,45.325,3
postgraduate,922,922,19,45.287,3
artwork,923,923,19,45.22,3
pardon,924,924,19,45.047,3
millimeter,925,925,19,44.916,3
incredible,926,926,19,44.861,3
halfway,927,927,19,44.848,3
deadline,928,928,19,44.808,3
bang,929,929,19,44.77,3
semi,930,930,19,44.497,3
slash,931,931,19,44.465,3
ridiculous,932,932,19,44.415,3
multi,933,933,19,44.385,3
homework,934,933,19,44.385,3
volition,935,935,19,44.333,3
tricky,936,936,19,43.896,2
cheer,937,937,19,43.81,2
shuttle,938,938,19,43.767,2
aerosol,939,939,19,43.708,2
athletic,940,940,19,43.62,2
chess,941,941,19,43.564,2
terribly,942,942,19,43.525,2
unintelligible,943,943,19,43.512,2
circa,944,944,19,43.488,2
scroll,945,945,19,43.465,2
sponsorship,946,946,19,43.286,2
connector,947,947,19,43.196,2
nasty,948,948,19,43.172,2
incredibly,949,949,19,43.128,2
neo,950,950,19,43.106,2
entrant,951,951,19,42.98,2
hawk,952,952,19,42.937,2
handout,953,953,19,42.85,2
tech,954,954,19,42.591,2
rack,955,955,19,42.423,2
applause,956,956,19,42.343,2
demonstrator,957,957,19,42.26,2
calculator,958,958,19,41.841,2
mall,959,959,19,41.244,1
sneeze,960,960,19,40.815,1
sniff,961,961,19,40.694,1
stadium,962,962,19,40.67,1
descendent,963,963,19,38.92,1
